                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9492,                0.52992,                0.93497,                0.88816,                0.93231,                0.96642,                0.70498,                 1.0145,                0.55391,                0.96894,               0.001307,               0.001307,               0.001307
                     37,                0.94503,                0.52531,                0.93906,                0.90708,                0.92209,                0.96116,                  0.715,                  0.987,                 0.5413,                0.95616,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.9443,                0.52104,                0.93878,                0.92176,                0.91462,                0.96594,                0.71654,                 1.0022,                0.53204,                0.96127,              0.0012674,              0.0012674,              0.0012674
                     39,                0.93383,                0.50882,                0.94116,                0.91447,                 0.9129,                0.96929,                0.70495,                 1.0116,                 0.5491,                0.96415,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9322,                0.50919,                0.92946,                0.90335,                0.92423,                0.96973,                0.71371,                0.97656,                0.55497,                0.95699,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91945,                0.51419,                0.93049,                0.86899,                 0.9344,                0.95636,                0.69056,                 1.0336,                0.62875,                0.97869,               0.001208,               0.001208,               0.001208
                     42,                 0.9206,                0.51557,                0.92811,                0.88008,                 0.9317,                 0.9624,                0.68584,                0.99614,                0.56151,                0.96498,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91867,                0.51339,                 0.9275,                0.88251,                0.92989,                 0.9634,                0.68835,                  1.029,                0.56416,                0.96457,              0.0011684,              0.0011684,              0.0011684
                     44,                0.90735,                0.50185,                0.92566,                 0.8902,                0.91782,                0.96506,                0.70637,                 1.0033,                0.53694,                0.96038,              0.0011486,              0.0011486,              0.0011486
                     45,                0.91671,                0.49219,                0.92359,                0.90364,                0.94344,                0.96455,                0.70886,                0.99289,                0.51242,                0.96017,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.9039,                0.49664,                0.92871,                0.91719,                0.92197,                0.97035,                0.71347,                 0.9887,                0.52162,                0.95792,               0.001109,               0.001109,               0.001109
                     47,                0.90538,                0.48932,                0.92385,                 0.9116,                0.92529,                0.96484,                0.71507,                 0.9931,                0.52236,                0.95688,              0.0010892,              0.0010892,              0.0010892
                     48,                0.89327,                0.48341,                0.92858,                0.90458,                0.91249,                 0.9638,                0.71166,                0.98233,                0.52907,                0.96235,              0.0010694,              0.0010694,              0.0010694
                     49,                0.89527,                0.48797,                0.92277,                0.90252,                0.92877,                0.95729,                0.71198,                0.96556,                0.50999,                 0.9492,              0.0010496,              0.0010496,              0.0010496
                     50,                0.88557,                0.48057,                 0.9175,                0.90098,                0.91276,                0.96091,                0.70572,                 0.9879,                0.53571,                0.95735,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.8954,                0.48735,                0.92081,                0.89555,                0.91501,                 0.9626,                0.69877,                 1.0286,                0.55535,                0.97015,                0.00101,                0.00101,                0.00101
                     52,                 0.8933,                0.48043,                0.92083,                0.92493,                0.90734,                0.96153,                0.71171,                0.99446,                0.51432,                0.95632,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88236,                0.47779,                0.92317,                0.89967,                0.90608,                0.95886,                0.70215,                 1.0092,                0.55354,                0.96357,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87331,                0.46952,                0.91485,                 0.9191,                0.92743,                0.97197,                0.71899,                0.97191,                 0.5193,                0.94673,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.8757,                0.47052,                0.91494,                0.90827,                0.92992,                0.96871,                0.71513,                 1.0048,                0.51724,                0.95979,              0.0009308,              0.0009308,              0.0009308
                     56,                0.86687,                0.47287,                0.91152,                0.91153,                0.92102,                0.97199,                0.71376,                0.98941,                0.52489,                0.95652,               0.000911,               0.000911,               0.000911
                     57,                0.86301,                0.47453,                0.91787,                 0.9197,                0.92896,                0.96232,                0.72546,                0.95416,                0.50679,                 0.9462,              0.0008912,              0.0008912,              0.0008912
                     58,                0.86331,                 0.4662,                0.91151,                0.91358,                0.91382,                0.96351,                0.71909,                0.97965,                0.50435,                0.95274,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.8603,                0.46164,                0.91533,                0.90554,                0.90822,                0.96442,                0.70947,                 0.9968,                0.54295,                0.95667,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.8677,                0.46029,                0.91602,                0.91027,                0.91676,                0.96268,                0.71287,                0.97559,                0.50968,                0.95369,              0.0008318,              0.0008318,              0.0008318
                     61,                0.85104,                0.45032,                0.90811,                0.93721,                0.90288,                0.96743,                0.71622,                0.98045,                0.48732,                0.95719,               0.000812,               0.000812,               0.000812
